STATION_ID,LONGNAME,LINES,ADDRESS,ADA,PKNRD,POINT_X,POINT_Y
"230",Cumberland,Blue Line,5800 N. Cumberland Avenue,"1","1",1118914.13069739,1937256.04587705
"1350",Oak Park-Lake,Green Line (Lake),100 S. Oak Park Avenue,"0","0",1131166.00962080,1901870.06722010
"1260",Austin-Lake,Green Line (Lake),351 N. Austin Blvd,"0","0",1136515.35413778,1902015.55586023
"170",Ashland-Lake,"Green (Lake), Pink",1601 W. Lake Street,"1","0",1165706.56389297,1901501.95688375
"1160",Clinton-Lake,"Green (Lake), Pink",540 W. Lake Street,"1","0",1172561.88677935,1901699.06101194
"490",Grand/Milwaukee,Blue Line (O'Hare),502 N. Milwaukee Avenue,"0","0",1170964.65874586,1903685.42030979
"1410",Chicago/Milwaukee,Blue Line,800 N. Milwaukee Avenue,"0","0",1168871.48498392,1905449.33352743
"590",Damen/Milwaukee,Blue Line,1558 N. Damen Avenue,"0","0",1162783.21413024,1910383.12246002
"570",California/Milwaukee,Blue Line (O'Hare),2211 N. California Avenue,"0","0",1157455.12068528,1914787.23945613
"60",Belmont-O'Hare,Blue Line,3355 W. Belmont Avenue,"0","0",1153202.40157732,1920656.94749359
"1330",Montrose-O'Hare,Blue Line,4600 W. Montrose Avenue,"0","0",1144639.34672135,1929107.50647746
"710",Chicago/Franklin,"Brown, Purple (Express)",300 W. Chicago Avenue,"1","0",1174115.15449280,1905746.07592771
"1480",Western-Ravenswood,Brown Line,4645 N. Western Avenue,"1","0",1159616.19511930,1930951.29758318
"870",Francisco,Brown Line,4648 N. Francisco Avenue,"1","0",1156039.37233196,1930887.06155112
"1440",Addison-Ravenswood,Brown Line,1818 W. Addison Street,"1","0",1163413.93822683,1923975.42941668
"1310",Paulina,Brown Line,3411 N. Paulina Street,"1","0",1164471.22974782,1922773.86704756
"90",Damen-Ravenswood,Brown Line,4643 N. Damen Avenue,"1","0",1162299.35492979,1931030.29073525
"1500",Montrose-Ravenswood,Brown Line,1814 W. Montrose Avenue,"1","0",1163255.95192269,1929339.66570968
"160",LaSalle/Van Buren,"Brown, Orange, Pink, Purple (Express)",121 W. Van Buren Street,"0","0",1175321.45695792,1898497.01044895
"260",State/Lake,"Brown, Orange, Pink,  Purple (Express), Green",200 N. State Street,"0","0",1176356.59423889,1901743.42939598
"1660",Lake/State,Red Line,188 N. State,"1","0",1176365.32127889,1901404.02433966
"1490",Harrison,Red Line,608 S. State Street,"0","0",1176488.61907101,1897480.33051201
"1280",Jefferson Park,Blue Line,4917 N. Milwaukee Avenue,"1","0",1139918.57154895,1932409.02840054
"1430",87th,Red Line,15 W. 87th Street,"1","0",1177647.63808009,1846956.57340895
"240",79th,Red Line,15 W. 79th Street,"1","0",1177486.45894394,1852436.46589406
"1230",47th-Dan Ryan,Red Line,220 W. 47th Street,"1","0",1175712.49286229,1874259.92345038
"190",Sox-35th-Dan Ryan,Red Line,142 W. 35th Street,"1","0",1175756.53587033,1881859.32211346
"1000",Cermak-Chinatown,Red Line,138 W. Cermak Road,"1","0",1175600.57759818,1889880.86554493
"720",Cottage Grove,Green Line,800 E. 63rd Street,"1","0",1182666.51808476,1863374.47652824
"1140",King Drive,Green Line,400 E. 63rd Street,"1","0",1180024.55149030,1863287.02462416
"940",Halsted/63rd,Green Line,6321 S. Halsted Street,"1","0",1172260.63647507,1862821.97015973
"290",Ashland/63rd,Green Line (Englewood),6315 S. Ashland Avenue,"1","1",1166854.40799004,1862752.12183966
"1080",47th-South Elevated,Green Line,314 E. 47th Street,"1","0",1179041.79692939,1873875.82873002
"410",Roosevelt/Wabash,Orange & Green Lines,22 E. Roosevelt Road,"1","0",1176750.70598325,1895064.79898976
"890",O'Hare Airport,Blue Line,1000 O'Hare Drive,"1","0",1101572.00306524,1935188.07531513
"770",Lawrence,Red Line,1117 W. Lawrence Avenue,"0","0",1167769.27416689,1932066.87544022
"1320",Belmont-North Main,"Red, Brown, Purple (Express)",945 W. Belmont Avenue,"1","0",1169244.56018426,1921368.70147826
"650",North/Clybourn,Red Line,1599 N. Clybourn Avenue,"0","0",1170472.73119341,1910775.10249239
"1300",Loyola,Red Line,1200 W. Loyola Avenue,"1","0",1166979.64523815,1943698.46533905
"400",Noyes,"Purple Line, Evanston Express",901 W. Noyes Street,"0","0",1160766.40312037,1964499.18036642
"900",Howard,"Red, Yellow, Purple, Evanston Express",1649 W. Howard Street,"1","1",1163713.08011511,1950229.06835313
"340",Berwyn,Red Line,1121 W. Berwyn Avenue,"0","0",1167696.17515882,1935289.67941122
"1070",Kedzie-Lake,Green Line (Lake),3200 W. Lake Street,"1","0",1155033.73418703,1901060.63233934
"100",Morse,Red Line,1358 W. Morse Avenue,"0","0",1165641.09906091,1946344.11935752
"530",Diversey,"Brown, Purple (Express)",940 W. Diversey Avenue,"1","0",1169332.77215234,1918811.40944387
"1120",35-Bronzeville-IIT,Green Line,16 E. 35th Street,"1","0",1177050.91513553,1882047.58707363
